Magic,Symbol,TF,n_trades,OsRank,CsRank,BestOpenShift,BestCloseShift,RetOriginal,BestRetOpen,BestRetClose,RetDur25,RetDur50,RetDur100,RetTF1,RetTF2,RetTF3,MAE,MFE,hitTF1,hitTF2,hitTF3,TimeToMAE_med_s,TimeToMFE_med_s,OsScoreApprox,CsScoreApprox,open_too_late,open_too_early,open_class,close_too_late,close_too_early,close_class,hitTF_max,retTF_max,edge_best_horizon,edge_best_hit,strong_predictive_edge,moderate_predictive_edge,edge_class,MFE_to_MAE,mae_mfe_class
850443362,NAS100,240,41,6.2926829268292686,6.658536585365853,-0.25365853658536586,-0.0902439024390244,41.25609756097561,220.18536585365854,194.98536585365852,2.917142857142857,11.703030303030305,48.354166666666664,-41.55142857142857,9.589655172413794,8.108333333333333,104.31463414634146,218.19268292682926,0.34146341463414637,0.4146341463414634,0.4634146341463415,13075.0,54342.0,4.7073170731707314,4.341463414634147,True,False,too_late,True,False,too_late,0.4634146341463415,9.589655172413794,TF3,0.4634146341463415,False,False,weak_or_none,2.091678552222404,high_R
17019963,USDJPY,60,40,7.875,6.85,-0.29,-0.0825,-0.10069999999999998,0.783875,0.494425,-0.063675,-0.28035135135135136,-0.21694117647058822,-0.036625000000000005,-0.07294999999999999,-0.09223076923076923,0.4914102564102564,0.6534615384615384,0.475,0.45,0.35,11349.5,22660.0,3.125,4.15,True,False,too_late,True,False,too_late,0.475,-0.036625000000000005,TF1,0.475,False,False,weak_or_none,1.3297678058961648,balanced
113031321,EURUSD,30,40,7.55,5.85,-0.29250000000000004,-0.1575,0.00167425,0.00650975,0.004774,0.00046282051282051274,0.001046388888888889,0.001825625,-0.00012125,-0.00020350000000000004,7.374999999999995e-05,0.0032177499999999997,0.005698750000000001,0.4,0.425,0.475,12078.0,64172.5,3.45,5.15,True,False,too_late,False,False,ok,0.475,7.374999999999995e-05,TF3,0.475,False,False,weak_or_none,1.7710356615647584,balanced
11153467,EURUSD,15,39,7.461538461538462,7.051282051282051,-0.3,-0.09230769230769231,-0.0005243589743589743,0.005357948717948718,0.0018820512820512823,8.794871794871795e-05,0.00016153846153846153,0.0003906451612903226,-0.0001241025641025641,-1.5384615384615468e-06,3.256410256410258e-05,0.002512051282051282,0.002584102564102564,0.48717948717948717,0.5384615384615384,0.5384615384615384,5077.0,4966.0,3.5384615384615388,3.948717948717949,True,False,too_late,True,False,too_late,0.5384615384615384,3.256410256410258e-05,TF2,0.5384615384615384,False,False,weak_or_none,1.028682249668266,poor_R
173078137,USDJPY,30,37,7.27027027027027,8.0,-0.3324324324324325,-0.20810810810810812,0.015297297297297292,0.7687837837837838,0.5502162162162162,-0.10197297297297298,-0.036864864864864885,-0.00035135135135133964,-0.07872972972972972,-0.08845945945945946,-0.10021621621621621,0.3008,0.6635714285714286,0.5405405405405406,0.5405405405405406,0.43243243243243246,6586.0,26362.0,3.72972972972973,3.0,True,False,too_late,True,False,too_late,0.5405405405405406,-0.07872972972972972,TF1,0.5405405405405406,False,False,weak_or_none,2.206022036474164,high_R
172477110,USDJPY,1440,36,7.722222222222222,6.611111111111111,-0.23055555555555557,-0.11944444444444444,-0.10369444444444442,0.62525,0.3851111111111111,0.04358823529411764,0.02036363636363636,0.007931034482758632,0.026709677419354826,0.2673043478260869,0.1653636363636364,0.5748888888888889,0.5933333333333333,0.3333333333333333,0.2777777777777778,0.2777777777777778,38656.0,23746.0,3.2777777777777777,4.388888888888889,True,False,too_late,True,False,too_late,0.3333333333333333,0.2673043478260869,TF1,0.3333333333333333,False,False,weak_or_none,1.032083494395052,poor_R
200448115,EURJPY,240,36,7.888888888888889,6.638888888888889,-0.24444444444444446,-0.16944444444444445,-0.05052777777777779,0.7116388888888889,0.5695277777777777,-0.11219354838709676,-0.102,0.2305,-0.028,-0.14466666666666667,-0.06949999999999999,0.5134722222222222,0.9290833333333334,0.5833333333333334,0.3611111111111111,0.4722222222222222,20514.0,24534.0,3.1111111111111107,4.361111111111111,True,False,too_late,True,False,too_late,0.5833333333333334,-0.028,TF1,0.5833333333333334,False,False,weak_or_none,1.8094130375980526,balanced
220111819,GBPJPY,60,36,3.5833333333333335,6.416666666666667,-0.041666666666666664,-0.008333333333333342,0.07013888888888885,0.5704166666666667,1.0152222222222222,0.0508,0.03291999999999999,0.09325000000000001,-0.08245714285714285,-0.035685714285714286,-0.012571428571428574,0.6928611111111111,1.1644722222222221,0.4722222222222222,0.5555555555555556,0.5,15253.5,44744.0,7.416666666666666,4.583333333333333,False,False,ok,False,False,ok,0.5555555555555556,-0.012571428571428574,TF2,0.5555555555555556,False,False,weak_or_none,1.680671932004971,balanced
911547133,XAUUSD,15,36,6.972222222222222,7.527777777777778,-0.3111111111111111,-0.19722222222222222,3.0541666666666667,18.5475,22.316944444444445,-0.24805555555555556,-0.4787878787878789,-2.2639393939393937,-0.24944444444444455,-0.2958333333333333,-1.6808333333333332,9.917777777777777,28.084166666666665,0.5277777777777778,0.6666666666666666,0.5277777777777778,9499.0,7787.0,4.027777777777778,3.4722222222222223,True,False,too_late,True,False,too_late,0.6666666666666666,-0.24944444444444455,TF2,0.6666666666666666,False,False,weak_or_none,2.8316995294644856,high_R
11151224,EURUSD,15,35,7.857142857142857,5.371428571428571,-0.3085714285714286,-0.08857142857142858,0.0006177142857142857,0.006712571428571428,0.00261,0.0005709677419354839,0.0005191666666666667,0.0006847619047619048,0.00017342857142857142,-0.00010714285714285718,0.00020857142857142851,0.002738,0.003572857142857143,0.5142857142857142,0.42857142857142855,0.4857142857142857,18775.5,15673.0,3.1428571428571432,5.628571428571429,True,False,too_late,False,False,ok,0.5142857142857142,0.00020857142857142851,TF1,0.5142857142857142,False,False,weak_or_none,1.3049149535636022,balanced
