Ticket,Magic,Symbol,TF,OsRank,BestOpenShift,CsRank,BestCloseShift,RetOriginal,BestRetOpen,BestRetClose,RetDur25,RetDur50,RetDur100,RetTF1,RetTF2,RetTF3,MAE,MFE
253088276,110124169,EURUSD,60,6.0,-0.1,2.0,-0.1,0.006080000000000085,0.013230000000000075,0.00658000000000003,0.0048600000000000865,,,0.0043800000000000505,0.004229999999999956,0.00503000000000009,0.0014600000000000168,0.006720000000000059
253088646,172477110,USDJPY,1440,11.0,-0.5,6.0,0.1,-0.3119999999999834,0.4300000000000068,-0.10099999999999909,-0.026999999999986812,-0.08399999999997476,-0.3709999999999809,-0.023999999999972488,-0.5459999999999923,-0.19099999999997408,0.44999999999998863,0.21600000000000819
253090584,852412345,NAS100,1440,1.0,0.0,1.0,0.0,44.0,44.0,44.0,38.099999999998545,52.0,-39.900000000001455,,,-479.7000000000007,0.0,27.700000000000728
253091189,811521059,US30,15,11.0,-0.4,1.0,0.0,-68.0,249.0,-68.0,-337.0,-372.0,-279.0,-301.0,-301.0,-373.0,326.0,0.0
253091428,822412345,US500,1440,1.0,0.0,1.0,0.0,11.100000000000364,11.100000000000364,11.100000000000364,8.200000000000728,,-6.299999999999272,-3.5,-36.0,-54.79999999999927,1.5,9.300000000000182
253101025,913034165,XAUUSD,30,6.0,-0.3,6.0,-0.2,0.2800000000002001,1.830000000000382,6.599999999999909,4.7800000000002,-0.38999999999987267,-8.88000000000011,4.800000000000182,4.449999999999818,-7.110000000000127,0.34999999999990905,9.659999999999854
253113371,852412345,NAS100,1440,9.0,0.5,2.0,0.3,-57.099999999998545,44.400000000001455,-50.599999999998545,-70.39999999999782,-108.29999999999927,-134.89999999999782,-105.39999999999782,-517.0999999999985,-516.5,146.79999999999927,0.0
253113525,822412345,US500,1440,9.0,0.5,1.0,0.0,-9.5,13.400000000000546,-9.5,-18.900000000000546,-20.900000000000546,-18.800000000000182,-22.699999999999818,-69.90000000000055,-68.60000000000036,26.400000000000546,0.0
253115432,120142107,GBPUSD,60,1.0,0.0,6.0,-0.1,0.0009999999999998899,0.0009999999999998899,0.014680000000000026,0.003940000000000055,0.006329999999999947,0.009279999999999955,-0.0003900000000001125,-0.00012000000000012001,7.999999999985796e-05,0.0008200000000000429,0.015539999999999887
253127516,220138124,GBPJPY,60,8.0,-0.4,2.0,-0.5,0.3610000000000184,1.65300000000002,0.6100000000000136,-0.23399999999998045,0.47100000000000364,-0.5159999999999911,-0.033999999999991815,-0.26899999999997704,-0.15699999999998226,0.664999999999992,1.004000000000019
