Magic,Symbol,TF,n_trades,SL_pips,MAE_good_pips,MAE_soft_cut_pips,P1_trigger_pips,P1_SL_pips,P2_trigger_pips,P2_SL_pips,P3_trigger_pips,P3_SL_pips,TP_lab_pips,scalp_TF1_ok,scalp_TF2_ok,scalp_TF3_ok,R_BAD_THRESHOLD,early_abort_flag_rate,early_abort_win_rate,early_abort_avg_pl,median_bars_winners,median_bars_losers,min_bars_before_abort_check,R_med_winners,R_med_losers,R_q10_winners,R_q90_winners,R_q10_losers,R_q90_losers,Score_OSCS,time_to_mae_med_s,time_to_mfe_med_s,mfe_median_bars,mae_median_bars,mae_atr_mean,mfe_atr_mean,e_ratio_mean,mae_atr_median,mfe_atr_median,e_ratio_median,mae_p10,mae_p25,mae_p50,mae_p75,mae_p90,mfe_p10,mfe_p25,mfe_p50,mfe_p75,mfe_p90,toxic_cluster_identified,abort_toxic_cluster_pct
111517147,EURUSD,15,28,32,20,13,20,-10,40,0,61,39,70,False,False,False,0.7,0.27631578947368424,0.0,-3.0504761904761906,109.26666666666667,39.46666666666667,27.0,6.257142857142857,0.7838709677419355,2.049494845360825,29.4553605015674,0.0516129032258065,2.482396313364055,3.091707626446805,24925.0,38346.0,42.60666666666667,27.694444444444443,2.628643,4.302417,2.943412,2.634305,3.750707,1.393436,8.05,13.85,31.0,31.0,31.0,6.15,17.075,33.1,74.9,145.2,True,0.27631578947368424
223023153,GBPJPY,30,268,91,57,77,57,-28,114,0,115,71,126,False,False,False,0.4737216540684749,0.24822695035460993,0.0,-7.112428571428572,69.51666666666667,44.06666666666666,17.0,4.228210854212746,0.4737216540684749,0.9306687024803689,18.822646691635455,0.0027735574768551433,3.74448166999549,3.072738268508288,28378.0,64385.5,35.76972222222222,15.765555555555556,3.56402,5.019783,5.809542,2.825919,3.592799,1.44385,12.430000000000001,27.025,62.150000000000006,100.55,122.99,6.180000000000001,26.0,73.69999999999999,147.725,229.77,True,0.24822695035460993
80011095,GER40,60,192,111,70,44,70,-35,139,0,258,166,295,False,False,False,0.8,0.345679012345679,0.03571428571428571,-14.317857142857145,23.90833333333333,4.183333333333334,6.0,9.616346153846155,0.5842696629213483,2.9397357028935973,74.67272727272727,0.04094076655052265,3.5631578947368423,3.062661143985318,6038.0,17305.0,4.8069444444444445,1.6772222222222222,1.174969,2.475402,6.016973,0.827883,1.574959,1.774775,13.0,28.0,73.0,127.0,204.0,7.0,40.0,98.0,220.0,446.0,True,0.345679012345679
113034119,EURUSD,30,34,32,20,13,20,-10,40,0,58,37,66,False,False,False,0.38627450980392153,0.2796610169491525,0.0,-4.848787878787879,57.46666666666667,36.266666666666666,14.0,5.547413793103448,0.38627450980392153,1.881713405238829,26.08394062078273,0.005882352941176474,2.114485842026826,3.0532298618655904,6898.0,39146.5,21.748055555555556,3.832222222222222,2.629342,4.628631,5.19543,2.3185,2.700053,1.355805,5.94,12.2,27.45,51.0,51.0,2.6500000000000004,14.2,41.400000000000006,76.225,136.81,True,0.2796610169491525
113085881,EURUSD,30,26,39,24,16,24,-12,48,0,57,36,65,False,False,False,0.4963768115942028,0.27472527472527475,0.0,-5.015599999999999,98.78333333333333,51.266666666666666,25.0,5.637967560410461,0.4963768115942028,1.552950637139676,36.236363636363635,0.039344262295081964,1.8431372549019607,3.0061083845637233,32069.0,64007.0,35.559444444444445,17.816111111111113,2.390333,4.144846,3.697448,1.804096,3.434022,1.348192,7.3,14.8,35.7,61.0,61.0,8.5,20.9,48.2,81.05,157.6,True,0.27472527472527475
221518164,GBPJPY,15,269,85,53,34,53,-27,107,0,108,62,110,False,False,False,0.6,0.3633217993079585,0.0380952380952381,-5.786,132.53333333333333,85.76666666666667,33.0,4.323478260869565,0.5329433444441981,0.7838602951249048,21.709032258064525,0.01290864584353277,9.764126559714793,2.9861276406483293,19739.5,34952.0,38.83555555555556,21.932777777777776,4.241093,7.198697,12.890738,3.808814,4.261391,1.38895,9.700000000000001,23.2,55.2,98.9,139.2,4.0,21.9,67.9,141.4,234.7599999999999,True,0.3633217993079585
850443362,NAS100,240,56,979,612,392,612,-306,1224,0,2723,1750,3112,False,False,False,0.6,0.22388059701492538,0.0,-14.006666666666666,17.033333333333335,3.004166666666667,4.0,10.561987384951166,1.2975291480382212,3.569878541592115,3068.286000000003,0.14997886446321082,29.617672730119125,2.96179894579125,13437.0,44592.0,3.0966666666666667,0.933125,0.781897,1.543637,7.353779,0.683133,0.996179,2.438281,12.227,142.095,542.235,1344.27,1717.8,206.746,576.6,1234.605,2875.0474999999997,4419.857,True,0.22388059701492538
17011049,USDJPY,60,92,47,30,19,30,-15,59,0,85,55,97,False,False,False,0.47140381282495664,0.288135593220339,0.0,-3.819117647058824,29.5,9.85,7.0,7.298557158712542,0.47140381282495664,1.495,96.4,0.033169776567010555,2.110985369689143,2.9617152558420834,23588.5,30907.5,8.585416666666667,6.552361111111111,1.930434,3.489049,5.367567,1.706257,2.215892,1.250353,5.41,14.675,34.25,58.375,81.53,2.7100000000000004,14.399999999999999,34.2,103.975,209.42000000000002,True,0.288135593220339
120131147,GBPUSD,60,40,42,27,17,27,-13,53,0,67,43,76,False,False,False,0.5206896551724138,0.2982456140350877,0.0,-6.59235294117647,25.533333333333335,20.533333333333335,6.0,7.292307692307692,0.5206896551724138,1.5165158371040723,39.12627197039783,0.022535211267605635,3.8344827586206898,2.9575906498627056,49097.0,63518.0,17.64388888888889,13.638055555555555,2.247107,3.206986,4.612891,2.143719,2.045163,0.88363,7.44,15.05,39.05,59.8,71.0,3.1900000000000004,17.6,41.900000000000006,86.75,147.21,True,0.2982456140350877
173015161,USDJPY,30,43,45,28,18,28,-14,56,0,101,65,115,False,False,False,0.6,0.3116883116883117,0.0,-3.057708333333333,82.68333333333334,32.31666666666666,21.0,8.078174603174602,0.6058823529411765,3.0857295156868716,29.58535108958838,0.024901960784313726,2.1174509803921566,2.9179752195103,18895.5,45976.5,25.5425,10.4975,2.768411,5.843835,5.365459,2.206218,4.890116,1.310061,6.96,20.85,51.0,51.0,51.0,3.2500000000000004,17.425,53.45,131.2,170.0,True,0.3116883116883117
111541079,EURUSD,15,17,24,15,10,15,-8,30,0,35,22,39,False,False,False,0.38125,0.29310344827586204,0.0,-1.9832352941176468,68.5,5.966666666666667,17.0,5.88356294407984,0.38125,2.008284420593661,40.073636363636375,0.041096368715083806,1.7616683504113149,2.9087090673832994,5071.5,4822.5,5.358333333333333,5.635,1.644997,2.993419,5.871808,1.584352,2.106875,1.293286,5.75,12.075,16.0,20.525,26.0,1.75,5.6,28.5,49.575,73.1,True,0.29310344827586204
172417159,USDJPY,1440,53,45,28,18,28,-14,56,0,74,48,85,False,False,False,0.40076335877862596,0.2601626016260163,0.0,-5.132187500000001,1.8375,1.3562500000000002,3.0,6.602564102564103,0.40076335877862596,1.4080996108949417,34.79566003616641,0.033511450381679395,1.776628339410161,2.904011668513896,37137.0,54750.0,0.6336805555555556,0.4298263888888889,0.550877,0.624921,10.241507,0.49425,0.516421,0.981586,7.7,20.1,50.0,88.15,131.0,7.160000000000003,29.85,64.9,108.5,223.99999999999994,True,0.2601626016260163
170112120,USDJPY,60,27,64,40,26,40,-20,80,0,90,58,103,False,False,False,0.3477272727272727,0.23469387755102042,0.0,-3.825217391304346,41.7,13.5,10.0,4.5576923076923075,0.3477272727272727,1.7869012473736003,15.105208333333353,0.041363636363636366,1.3265580407513111,2.8995247205803256,34658.0,36698.5,10.194027777777778,9.627222222222223,2.04696,2.930861,3.048852,1.592009,2.743005,1.90242,7.620000000000001,23.3,44.75,66.0,66.0,4.820000000000001,17.625,53.0,123.275,180.0,True,0.23469387755102042
200117124,EURJPY,60,20,40,25,34,25,-12,50,0,73,47,84,False,False,False,1.41921568627451,0.43283582089552236,0.034482758620689655,-2.8020689655172415,27.0,8.991666666666667,7.0,5.160493827160494,0.5330065359477124,1.3174705176188124,18.05276101050749,0.0,1.41921568627451,2.882306265163408,8024.0,19192.0,5.331111111111111,2.2288888888888887,1.669854,2.434729,3.245208,1.181778,2.629398,1.380553,9.72,15.9,38.7,51.0,51.0,1.5400000000000003,11.45,50.9,96.15,125.0,True,0.43283582089552236
203011191,EURJPY,30,24,57,35,23,35,-18,71,0,72,40,73,False,False,False,0.39621212121212124,0.24705882352941178,0.0,-3.6880952380952374,36.4,47.016666666666666,9.0,2.702702702702703,0.39621212121212124,1.5669728221685841,15.464640561075395,0.0010606060606060661,1.2387878787878788,2.876165847040868,23358.0,19054.0,10.585555555555555,12.976666666666667,2.595207,2.753645,2.086811,2.459404,2.484205,1.440928,6.9,21.6,42.6,66.0,66.0,5.74,22.0,66.3,90.0,90.0,True,0.24705882352941178
11151429,EURUSD,15,177,16,10,11,10,-5,20,0,29,18,33,False,False,False,,,,,,,,,,,,,,2.8573835251878505,14820.0,16723.0,18.58111111111111,16.466666666666665,2.780758,3.654762,6.013844,2.76087,3.358962,1.366667,2.43,9.35,25.55,35.325,42.67000000000001,0.030000000000000027,6.525,27.549999999999997,40.7,51.58000000000003,,
17011586,USDJPY,60,180,49,31,20,31,-15,62,0,68,44,78,False,False,False,0.45060632405046,0.3035019455252918,0.0,-4.141410256410257,42.416666666666664,11.283333333333333,11.0,6.016393442622951,0.45060632405046,1.221367665249182,28.774884640738303,0.0,2.4319210075813156,2.8550251102105744,24169.0,32153.0,8.93138888888889,6.713611111111111,2.308186,5.13001,5.064908,1.847507,2.058133,1.162791,7.22,16.1,31.7,62.5,109.60000000000001,1.5600000000000003,10.5,33.9,80.8,192.38,True,0.3035019455252918
111515104,EURUSD,15,28,23,14,9,14,-7,29,0,54,34,61,False,False,False,0.44482758620689655,0.33076923076923076,0.0,-2.3811627906976742,114.46666666666667,12.333333333333334,29.0,9.721311475409836,0.44482758620689655,2.4105651105651105,67.59200000000001,0.0,1.8953433835845905,2.833533396719753,15727.0,13154.0,14.615555555555556,17.474444444444444,2.549912,8.033321,6.762205,2.239122,2.714139,1.135417,5.59,13.675,19.85,25.55,33.34,0.49000000000000005,6.25,26.35,56.75,105.36000000000001,True,0.33076923076923076
170453108,USDJPY,240,35,60,37,24,37,-19,75,0,76,45,81,False,False,False,0.3183098591549296,0.27522935779816515,0.0,-4.2349999999999985,6.304166666666666,2.7875,3.0,3.7859007832898177,0.3183098591549296,1.3406000550509223,21.27268907563027,0.006338028169014087,1.1034992053488248,2.8245747392056124,33536.0,34245.5,2.378159722222222,2.328888888888889,1.069902,1.459337,4.116708,1.005005,1.410792,0.965368,9.98,22.4,54.8,71.0,71.0,4.42,15.7,52.4,99.6,145.0,True,0.27522935779816515
22018200,GBPJPY,60,139,64,40,26,40,-20,80,0,99,63,113,False,False,False,0.5924292653434526,0.28654970760233917,0.02040816326530612,-5.437551020408163,29.116666666666667,19.825000000000003,7.0,4.991847826086957,0.5924292653434526,1.321246373697217,16.121023880131105,0.024954760579064605,2.0179828068772485,2.813395539234591,36291.0,52585.0,14.606944444444444,10.080833333333333,2.166686,3.821983,5.64557,2.084193,3.429736,1.529716,13.8,28.85,65.2,88.35,115.7,8.3,29.1,84.6,145.3,204.2,True,0.28654970760233917
910122169,XAUUSD,60,288,1176,735,470,735,-367,1470,0,2016,1296,2304,False,True,True,0.462756183745583,0.273972602739726,0.0,-12.923750000000002,24.483333333333334,8.533333333333333,6.0,8.940565253532835,0.462756183745583,1.9450484696755779,68.45982975825676,0.02508812452475735,3.039209644068818,2.8015567356403652,12113.5,17091.0,4.7475,3.3648611111111113,1.735565,3.256339,5.731255,1.554189,2.209094,1.384008,144.28000000000003,366.5,830.25,1415.0,1415.0,102.55,473.25,1270.15,2689.5249999999996,4512.530000000003,True,0.273972602739726
22011586,GBPJPY,60,213,72,45,29,45,-23,91,0,92,56,99,False,False,False,0.2917993394745416,0.3062730627306273,0.024096385542168676,-5.292168674698795,30.683333333333334,12.35,8.0,4.575916230366492,0.2917993394745416,1.5917896352260656,16.207373913043487,0.0,1.5770687781400416,2.7951208382158423,20518.0,29139.0,8.094166666666666,5.6994444444444445,1.833344,4.412069,8.590002,1.540123,1.981867,1.226115,13.8,25.35,48.4,85.05000000000001,132.9,0.0,11.05,41.5,107.4,202.7,True,0.3062730627306273
110112125,EURUSD,60,22,23,15,9,15,-7,29,0,32,21,37,False,False,False,0.3074324324324324,0.2857142857142857,0.0,-4.064583333333333,19.383333333333333,19.25,5.0,4.24793388429752,0.3074324324324324,0.8599336283185841,20.853580901856752,0.0,2.08297520661157,2.7928156637031716,20125.0,17493.0,4.859166666666667,5.590277777777778,1.945632,2.87784,3.54793,1.854534,2.417108,1.339771,5.63,12.7,26.55,43.625,51.0,0.7300000000000001,10.325,26.45,44.625,92.09000000000002,True,0.2857142857142857
