Magic,Symbol,TF,n_trades,MAE_ATR_mean,MFE_ATR_mean,E_Ratio_mean,MAE_ATR_median,MFE_ATR_median,E_Ratio_median
910111510,XAUUSD,60,29,1.558599,2.963338,3.437404,1.654353,1.365958,0.810787
910122169,XAUUSD,60,288,1.735565,3.256339,5.731255,1.554189,2.209094,1.384008
910123182,XAUUSD,60,31,0.453873,1.818422,10.364315,0.478077,0.758953,1.537267
910128124,XAUUSD,60,25,1.206156,2.244644,4.481469,1.383818,2.289988,1.634409
910136160,XAUUSD,60,31,0.842285,1.112432,3.134481,0.791488,0.775556,0.829855
910142103,XAUUSD,60,305,1.811584,2.756706,8.267131,1.338392,2.275839,1.602914
910142147,XAUUSD,60,195,2.361966,2.772939,10.559462,2.176352,2.085060,1.191153
910143114,XAUUSD,60,296,2.196570,2.631827,5.398187,2.385463,2.222968,0.980065
910414947,XAUUSD,240,36,1.598386,3.887400,5.229428,1.747069,3.200809,1.228625
910424666,XAUUSD,240,104,0.567106,0.928022,10.845032,0.367905,0.547210,0.848062
910436106,XAUUSD,240,227,0.808336,1.248325,4.975795,0.794160,0.800631,1.092933
910440109,XAUUSD,240,17,0.664095,1.149940,5.985072,0.439814,1.173818,2.440864
911547133,XAUUSD,15,41,1.942592,4.328397,6.641776,1.870739,2.275102,1.070489
913016114,XAUUSD,30,306,1.954334,2.615319,16.339285,1.080930,1.841572,2.013373
913026119,XAUUSD,30,21,2.738111,3.168993,21.719012,1.910707,1.944900,1.017895
913034165,XAUUSD,30,50,1.050022,1.824425,5.918551,0.837184,1.598816,2.309856
913038112,XAUUSD,30,27,1.336672,2.168720,4.523444,1.526343,1.777781,1.031970
913065143,XAUUSD,30,26,1.173108,2.780066,6.889742,1.271300,2.967177,1.975791
913073101,XAUUSD,30,258,2.048840,3.497244,15.968867,1.572640,2.551732,1.698437
