Ticket,Magic,Symbol,TF,OsRank,BestOpenShift,CsRank,BestCloseShift,RetOriginal,BestRetOpen,BestRetClose,RetDur25,RetDur50,RetDur100,RetTF1,RetTF2,RetTF3,MAE,MFE,TimeToMAE_s,TimeToMFE_s
216269425,111518105,EURUSD,15,8.00000,-0.30000,10.00000,-0.20000,-0.00325,0.00355,0.00152,-0.00351,-0.00045,-0.00096,-0.00196,-0.00088,-0.00038,0.00321,0.00226,20292.00000,15672.00000
216273760,11153467,EURUSD,15,4.00000,-0.50000,11.00000,0.20000,-0.00000,0.00565,0.00312,0.00180,0.00298,0.00061,0.00039,0.00136,0.00183,0.00061,0.00257,41.00000,2561.00000
216275106,223071158,GBPJPY,30,11.00000,-0.50000,6.00000,-0.30000,-0.76300,0.11900,-0.06900,-0.35900,-0.09100,,-0.05300,-0.03400,-0.26500,1.09600,0.05600,85413.00000,2793.00000
216277292,910142103,XAUUSD,60,6.00000,-0.30000,1.00000,0.00000,35.45000,57.42000,35.45000,24.53000,31.88000,38.68000,9.35000,20.14000,24.53000,8.05000,35.94000,343.00000,18643.00000
216280015,910122169,XAUUSD,60,5.00000,-0.40000,10.00000,-0.30000,9.47000,34.36000,61.25000,,28.54000,65.33000,8.71000,19.50000,23.89000,8.69000,74.29000,334.00000,100054.00000
216285283,120118644,GBPUSD,60,11.00000,-0.50000,6.00000,0.20000,-0.00156,0.00763,-0.00095,-0.00097,-0.00077,-0.00184,-0.00191,-0.00028,-0.00177,0.00345,0.00013,1415.00000,35.00000
216286894,111572150,EURUSD,15,9.00000,-0.50000,10.00000,-0.50000,-0.00151,0.00018,-0.00044,-0.00448,-0.00340,-0.00556,-0.00118,-0.00181,-0.00290,0.00158,0.00052,1063.00000,43.00000
216291135,91041141,XAUUSD,240,4.00000,-0.20000,5.00000,0.50000,17.12000,21.58000,34.60000,6.04000,15.27000,29.21000,5.70000,22.60000,37.22000,7.92000,16.91000,2276.00000,27716.00000
216295147,220177157,GBPJPY,60,10.00000,-0.50000,6.00000,-0.30000,-0.83500,0.03400,-0.07600,-0.46200,-0.55200,-0.72100,-0.32000,-0.30800,-0.35700,1.16600,0.00000,82619.00000,
216296794,110417191,EURUSD,240,11.00000,-0.20000,1.00000,0.00000,0.00754,0.01306,0.00754,-0.00248,-0.00389,0.00073,-0.00242,-0.00218,-0.00283,0.00527,0.00768,76277.00000,174557.00000
216296828,22042161,GBPJPY,240,11.00000,-0.50000,6.00000,-0.30000,-0.65500,0.07800,0.02100,-0.37800,-0.80100,,-0.19900,-0.23100,-0.31900,0.99000,0.16200,85654.00000,3034.00000
216296831,22045560,GBPJPY,240,11.00000,-0.50000,6.00000,-0.30000,-0.65600,0.07800,0.02000,-0.33000,-0.00700,,-0.20000,-0.23200,-0.32000,0.99100,0.16100,85654.00000,3034.00000
216297744,22011619,GBPJPY,60,10.00000,-0.30000,7.00000,-0.10000,-0.65800,0.11900,0.26100,-0.28700,-0.05500,,-0.29000,-0.06100,-0.03600,0.69100,0.46100,193210.00000,110590.00000
216298707,120118612,GBPUSD,60,11.00000,-0.50000,8.00000,-0.50000,-0.00350,-0.00209,-0.00141,-0.00385,,,-0.00336,-0.00177,-0.00350,0.00358,0.00000,1551.00000,
